plot,interval_order,month_start,month_end,genet,tag,genotype,species,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot E,2,June,July,19,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,2,480,cm2,7.6525,7.6525,7.652500000000001e-4,7.652500000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,2,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,4.9825,4.9825,4.9825e-4,4.9825e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,20,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,5.025,5.025,5.025e-4,5.025e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,21,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,n/s; same,fuse; n/s,5,480,cm2,28.825000000000003,45.1275,0.0028824999999999996,0.004512749999999999,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,22,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,3.3275,3.3275,3.3275000000000004e-4,3.3275000000000004e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,24,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,0.485,0.4925,4.85e-5,4.925e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,25,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,2,480,cm2,8.975,8.8375,8.975000000000001e-4,8.8375e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,26,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,grow,n/s,1,480,cm2,2.425,2.76,2.4249999999999999e-4,2.76e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,27,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,4.1675,3.1025,4.1675e-4,3.1025e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,28,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,7.89,8.0475,7.89e-4,8.047499999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,29,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,1.2075,0.9975,1.2075000000000001e-4,9.975e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,3,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,4.4275,4.4275,4.4275e-4,4.4275e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,30,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,dead,none,1,480,cm2,0.6725,0,6.725e-5,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,2,June,July,31,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,10.4,9.1025,0.0010400000000000001,9.102499999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,32,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,grow; n/s,fuse; n/s,8,480,cm2,207.31500000000003,783.97,0.020731499999999996,0.078397,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,33,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,3.01,2.8225,3.01e-4,2.8225e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,34,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,3.525,3.0675,3.525e-4,3.0675e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,35,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,0.6225,0.54,6.225000000000001e-5,5.4000000000000005e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,36,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,grow,n/s,1,480,cm2,1.625,1.735,1.625e-4,1.7350000000000002e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,38,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,6.04,5.985,6.04e-4,5.985000000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,39,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,5.4775,5.75,5.4775e-4,5.75e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,4,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,5.025,5.025,5.025e-4,5.025e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,40,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,5.73,5.7025,5.73e-4,5.7025e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,41,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,shrink,n/s,1,480,cm2,5.45,5.0125,5.45e-4,5.012500000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,2,June,July,42,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250609_1-1-Coki_PlotE_20250711_1-1.csv,1-1,same,n/s,1,480,cm2,6.2425,6.3425,6.2425e-4,6.3425e-4,TRUE,TRUE,TRUE,FALSE,FALSE
