plot,interval_order,month_start,month_end,genet,tag,genotype,species,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot E,1,May,June,5,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4,4.9525,4e-4,4.952499999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,50,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,4.55,4.6675,4.55e-4,4.6675000000000004e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,51,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,5.845,6.32,5.845e-4,6.320000000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,52,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,3,480,cm2,16.25,16.25,0.001625,0.001625,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,53,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,5.4325,5.4325,5.4325e-4,5.4325e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,54,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,5.1175,5.1175,5.117499999999999e-4,5.117499999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,55,NA,NA,Orbicella faveolata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,8.4725,9.13,8.4725e-4,9.130000000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,56,NA,NA,Orbicella faveolata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,4.6325,5.18,4.6325e-4,5.18e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,57,NA,NA,Orbicella faveolata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,5.7825,6.04,5.7825e-4,6.04e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,58,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,17.94,16.9925,0.001794,0.00169925,TRUE,TRUE,TRUE,FALSE,FALSE
