source_file,logger_location,date_time,date,temperature_c
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T17:34:56Z,2025-03-14,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T17:44:56Z,2025-03-14,27.58
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T17:54:56Z,2025-03-14,27.58
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T18:04:56Z,2025-03-14,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T18:14:56Z,2025-03-14,27.5
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T18:24:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T18:34:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T18:44:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T18:54:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T19:04:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T19:14:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T19:24:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T19:34:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T19:44:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T19:54:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T20:04:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T20:14:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T20:24:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T20:34:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T20:44:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T20:54:56Z,2025-03-14,27.41
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T21:04:56Z,2025-03-14,27.45
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T21:14:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T21:24:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T21:34:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T21:44:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T21:54:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T22:04:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T22:14:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T22:24:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T22:34:56Z,2025-03-14,27.37
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T22:44:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T22:54:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T23:04:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T23:14:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T23:24:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T23:34:56Z,2025-03-14,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T23:44:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-14T23:54:56Z,2025-03-14,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-15T00:04:56Z,2025-03-15,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-15T00:14:56Z,2025-03-15,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-15T00:24:56Z,2025-03-15,27.32
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-15T00:34:56Z,2025-03-15,27.279999999999998
21706349 Deep Nurser 2025-11-20 14_38_59 AST (Data AST).csv,Deep Nursery,2025-03-15T00:44:56Z,2025-03-15,27.32
